,ch_strings,lower_E,upper_E,DE,mean_E
0,13.6 - 15.1 MeV ,13.6,15.1,1.5,14.330387294138285
1,15.0 - 17.1 MeV ,15.0,17.1,2.1000000000000014,16.015617378046965
2,17.0 - 19.3 MeV ,17.0,19.3,2.3000000000000007,18.11353085403285
3,20.8 - 23.8 MeV ,20.8,23.8,3.0,22.249494376277408
4,23.8 - 26.4 MeV ,23.8,26.4,2.599999999999998,25.066312054229275
5,26.3 - 29.7 MeV ,26.3,29.7,3.3999999999999986,27.94834521040557
6,29.6 - 33. 4 MeV,29.6,33.4,3.799999999999997,31.44264619907173
7,33.4 - 35.8 MeV ,33.4,35.8,2.3999999999999986,34.57918449009461
8,35.6 - 40.5 MeV ,35.6,40.5,4.899999999999999,37.971041597512176
9,40 - 60 MeV     ,40.0,60.0,20.0,48.98979485566356
10,60 - 100 MeV    ,60.0,100.0,40.0,77.45966692414834
