,PSP,PSP,PSP,PSP,PSP,PSP,PSP,PSP,SOHO,SOHO,SOHO,SOHO,SOHO,SOHO,SOHO,SOHO,Solar Orbiter,Solar Orbiter,Solar Orbiter,Solar Orbiter,Solar Orbiter,Solar Orbiter,Solar Orbiter,Solar Orbiter,STEREO A,STEREO A,STEREO A,STEREO A,STEREO A,STEREO A,STEREO A,STEREO A
,vsw,long,lat,r_dist,foot_long,foot_long_error,long_sep,plot_separation_long,vsw,long,lat,r_dist,foot_long,foot_long_error,long_sep,plot_separation_long,vsw,long,lat,r_dist,foot_long,foot_long_error,long_sep,plot_separation_long,vsw,long,lat,r_dist,foot_long,foot_long_error,long_sep,plot_separation_long
2023-05-16 13:00:00,404.19318,97.20638002722447,3.765762184213993,0.7313124828111645,142.32744641308184,4.663474333612958,8.782529265762037,no,462.33334,0.24764982940203406,-2.517667926283837,1.0018501643062598,54.47109667260136,4.872936567663374,-79.07382047471845,no,400,161.95276034628273,7.507456062509697,0.6911429305039634,-155.3585791370925,4.46049469390738,71.09650371558769,yes,415.66666,-8.413591555393054,-3.4930904975952823,0.9614397526441619,49.3813484238853,5.801206186771724,-84.16356872343451,no
2023-05-16 13:15:00,470.8005,97.20289680796262,3.7658589227207897,0.731258967572256,135.9375207706328,3.4162418206708,2.3926036233129935,no,459.0,0.2476221522381395,-2.5164659393102324,1.0018528106773685,54.865066346169044,4.94525700385825,-78.67985080115076,no,400,161.9572631797452,7.506764793806453,0.6912492222653186,-155.34737230192957,4.461195188222512,71.10771055075062,yes,417.2,-8.412730576554566,-3.4918632973557058,0.961438760651148,49.169835574935576,5.757725498055148,-84.37508157238423,no
2023-05-16 13:30:00,470.8005,97.19941460007148,3.7659556270204773,0.7312054016704221,135.93117702864748,3.415989444593698,2.3862598813276747,no,471.0,0.24759443844764342,-2.515263887598035,1.0018554565065168,53.47371996264798,4.692277499181328,-80.07119718467183,no,400,161.96176157019744,7.5060732632995215,0.6913554903650841,-155.33617132469593,4.461895534694208,71.11891152798427,yes,424.53333,-8.41186954582821,-3.490635969725026,0.96143776869367,48.176070166236514,5.556410357920623,-85.3688469810833,no
2023-05-16 13:45:00,463.86554,97.19593340287841,3.766052297107038,0.7311517850989379,136.5038451972657,3.520432948670813,2.9589280499458823,no,467.33334,0.24756671268795877,-2.5140617689303304,1.001858101552768,53.89150903393141,4.767491719160714,-79.6534081133884,no,400,161.96625551891782,7.505381471326614,0.6914617348038427,-155.3249762041299,4.462595733320691,71.13010664855028,yes,429.42856,-8.41100846498972,-3.4894085147472533,0.9614367767717655,47.53190930284245,5.427883431446409,-86.01300784447736,no
2023-05-16 14:00:00,421.23282,97.19245321838929,3.766148932974447,0.7310981178510508,140.47548895214544,4.284701643912146,6.930571804825632,no,465.66666,0.24753895014602084,-2.5128595792831123,1.0018607460935387,54.0836933645015,4.802290192175228,-79.46122378281831,no,400,161.97074502985762,7.504689418225026,0.6915679555821831,-155.3137869362965,4.463295784100275,71.14129591638368,yes,427.7143,-8.410147333139548,-3.4881809324654216,0.961435784885475,47.75702843795165,5.472383065959981,-85.78788870936816,no
2023-05-16 14:15:00,421.23282,97.18897404861383,3.7662455346166506,0.7310443999200102,140.46880247466038,4.284384144079183,6.923885327340571,no,472.33334,0.24751110913677407,-2.511657331866445,1.0018633906334775,53.32401239732265,4.665432132733526,-80.22090474999716,no,400,161.97523010697,7.503997104331491,0.6916741527006967,-155.30260351725872,4.4639956870313044,71.15247933542148,yes,427.92856,-8.409286149372065,-3.486953222923501,0.9614347930348311,47.7298120294185,5.466794897073595,-85.81510511790131,no
2023-05-16 14:30:00,421.23282,97.18549589288106,3.766342102027553,0.7309906312990617,140.46211399421787,4.284066345585425,6.917196846898065,no,471.0,0.24748327244978613,-2.5104550128197256,1.0018660342019188,53.474446928965904,4.692351386757543,-80.0704702183539,no,400,161.97971075152438,7.503304529982381,0.691780326159978,-155.291425945763,4.464695442112045,71.1636569069172,yes,428.07144,-8.408424915467094,-3.4857253861650115,0.9614338012198727,47.711980667023795,5.463075651377898,-85.83293648029601,no
2023-05-16 14:45:00,421.23282,97.18201875320085,3.7664386352010624,0.7309368119814397,140.45542351242625,4.2837482483911415,6.910506365106443,no,471.66666,0.24745538608349144,-2.509252627696967,1.001868677403552,53.399395198876704,4.678890067964938,-80.1455219484431,no,400,161.9841869674668,7.502611695513573,0.6918864759606222,-155.28025421787908,4.465395049340912,71.17482863480112,yes,420.73334,-8.40756363052111,-3.484497422233737,0.9614328094406399,48.69169301042922,5.659401646359372,-84.85322413689059,no
2023-05-16 15:00:00,492.47604,97.17854263158411,3.766535134131035,0.7308829419603695,134.18912264612933,3.1159608457285612,0.6442054988095265,no,479.33334,0.24742746750281056,-2.5080501759204967,1.0018713200960374,52.549437812323134,4.528001784732139,-80.99547933499667,no,400,161.9886587587408,7.501918601260481,0.691992602103225,-155.26908832967928,4.466094508716236,71.18599452300091,yes,417.66666,-8.406702293630929,-3.4832693311730343,0.9614318176971717,49.111845540049046,5.744620787678737,-84.43307160727076,no
2023-05-16 15:15:00,492.47604,97.17506752736315,3.766631598811312,0.7308290212290648,134.1828938896599,3.115729012761177,0.6379767423401006,no,476.66666,0.24739948460912953,-2.506847660652006,1.0018739626490383,52.842217210398864,4.579664297286277,-80.70269993692094,no,400,161.99312612660717,7.501225247558124,0.6920987045883839,-155.25792827991827,4.46679382023639,71.19715457276192,yes,412.93332,-8.405840906573928,-3.482041113026567,0.9614308259895017,49.772071640556135,5.880006565330893,-83.77284550676367,no
2023-05-16 15:30:00,541.8657,97.17159344255154,3.76672802923572,0.7307750497807407,130.80374508822118,2.5665035501128237,-2.7411720590986306,no,479.0,0.24737150437483682,-2.505645075993177,1.0018766041724698,52.58618842483373,4.534444649842307,-80.95872872248609,no,400,161.99758907500558,7.5005316347410185,0.6922047834167003,-155.24677406467174,4.467492983899755,71.20830878800845,yes,409.2143,-8.404979468445674,-3.4808127678384477,0.9614298343176687,50.301712209233585,5.989792947413261,-83.24320493808622,no
2023-05-16 15:45:00,486.84677,97.16812037915959,3.766824425398047,0.7307210276085973,134.59827899492737,3.188873758972302,1.0533618476075617,no,479.66666,0.2473434419213033,-2.504442428261037,1.0018792457727939,52.51362571017377,4.521659184223069,-81.03129143714604,no,400,162.00204760786855,7.499837763143223,0.6923108385887793,-155.23562568002228,4.46819199970479,71.21945717265791,yes,407.26666,-8.404117978346505,-3.4795842956517324,0.9614288426817121,50.58336631503289,6.04852714819248,-82.96155083228692,no
2023-05-16 16:00:00,450.7203,97.16464833652316,3.76692078729206,0.73066695470583,137.59191888343926,3.730141260821404,4.047001736119455,no,497.33334,0.24731538480760681,-2.503239713336058,1.0018818864262322,50.657148615300116,4.201341516609687,-82.88776853201969,no,400,162.00650172645132,7.499143633098352,0.6924168701052299,-155.22448312472935,4.4688908676499315,71.23059972795085,yes,408.07144,-8.403256438051756,-3.4783556965101665,0.961427851081667,50.46794340089133,6.02415749890883,-83.07697374642848,no
2023-05-16 16:15:00,447.24423,97.16117731665838,3.7670171149114977,0.7306128310656268,137.89961163498148,3.78916297809595,4.354694487661675,no,492.33334,0.24728726202786502,-2.502036933071109,1.00188452684677,51.16927028444233,4.288458133218321,-82.37564686287749,no,400,162.01095143468578,7.498449244939545,0.6925228779666629,-155.2133463948757,4.46958958773367,71.24173645780448,yes,409.57144,-8.402394846656307,-3.477126970457517,0.9614268595175748,50.25324039986435,5.979128949163498,-83.29167674745545,no
2023-05-16 16:30:00,435.72052,97.15770732157804,3.7671134082500757,0.7305586566811658,138.97044443730888,3.995973429585831,5.425527289989077,no,492.0,0.24725910480224364,-2.50083408661187,1.0018871667799125,51.20394067363092,4.294377825940063,-82.3409764736889,no,400,162.01539673649674,7.497754598999533,0.6926288621736919,-155.20221548655098,4.470288159954474,71.25286736612921,yes,416.46667,-8.401533203262716,-3.4758981175376786,0.9614258679894712,49.28301648499587,5.77851912676736,-84.26190066232394,no
2023-05-16 16:45:00,437.97327,97.15423835062029,3.767209667301489,0.7305044315456205,138.74879567843823,3.953871044470149,5.20387853111842,no,481.0,0.24723091988585194,-2.4996311724586207,1.0018898061284403,52.36944876384327,4.496290150212328,-81.17546838347653,no,400,162.0198376331317,7.497059695610516,0.6927348227269332,-155.19109039852185,4.470986584310853,71.26399245415834,yes,418.2,-8.400671509645122,-3.474669137793946,0.9614248764973878,49.04483452962404,5.7296917607974125,-84.50008261769577,no
2023-05-16 17:00:00,398.22235,97.15077040580411,3.7673058920593965,0.7304501556521519,142.89390566215812,4.802002827673138,9.348988514838311,no,480.33334,0.24720269780797485,-2.498428194017091,1.0018924449224262,52.44196388258255,4.509002797663507,-81.10295326473727,no,400,162.0242741285148,7.496364535104321,0.6928407596270055,-155.17997112687817,4.471684860801378,71.27511172580202,yes,414.7143,-8.399809764899146,-3.473440031270427,0.9614238850413704,49.52857550204021,5.8285394185874315,-84.0163416452796,no
2023-05-16 17:15:00,417.45367,97.14730348914428,3.767402082517439,0.7303958289939179,140.7798650241846,4.360087051810615,7.234947876864794,no,479.33334,0.2471744359600065,-2.497225148027477,1.0018950833787368,52.551033731678025,4.528161856073743,-80.99388341564179,no,400,162.0287062265631,7.495669117812279,0.6929466728745318,-155.1688576677167,4.4723829894245934,71.28622518496348,yes,414.33334,-8.398947968125015,-3.4722107980102708,0.96142289362146,49.582745569734016,5.839501142273173,-83.96217157758579,no
